age.at.S1K,total_T1_AA4.1+,total_MZ
11,4145272.444444445,12058.666666666666
11,3223400.0000000005,7450.0
11,3302816.814159292,18873.23893805309
11,2677655.93768097,11941.171604170617
14,6970682.085470086,173580.61538461538
14,8923469.173419774,65914.81361426256
14,9934749.202037351,55375.8234295416
14,9792408.860759491,102645.3164556962
14,8129738.591065292,152588.31615120274
18,8048253.625377644,120475.28700906344
18,13259741.109298533,95047.14518760196
18,14298238.413685847,175455.9097978227
18,12018216.46234676,88103.95796847636
19,7830012.563338301,135955.97615499256
19,2180226.8670886075,15998.022151898736
20,13915009.691629956,60898.67841409692
20,9656192.516934888,150280.55395174472
20,9794591.346059792,77038.92668917729
20,7829665.79527559,57549.259842519685
20,6774900.384761128,100449.87174629084
20,6300190.374234988,61303.40571251685
22,8433219.434628977,206642.80918727917
22,5577211.748633879,123578.68852459016
22,3782727.075812274,297029.45848375454
22,4656960.0,260945.3038674033
23,6310523.3843797855,160686.52373660033
23,6080230.2158273375,289910.7913669065
23,7325372.544000001,301651.728
23,7723245.949926362,269446.61266568484
24,3147971.212121212,496397.4025974026
24,612356.8472716775,444160.8122413627
24,4155810.0958466455,764260.4472843452
24,4968701.357466063,621728.5067873303
24,5646774.65625,592998.65625
24,3428983.5462555066,555337.6651982379
25,4104114.646017699,385676.90265486727
25,5085526.812688821,170704.30513595167
26,3987991.071428572,739419.6428571428
26,4257468.717948718,629988.1025641026
26,7539452.580645162,641967.7419354839
26,4509263.076923077,471828.4615384616
26,3218231.4531814395,694003.889969436
27,1799773.9509858345,699301.3171634983
28,5123266.744096012,740168.0216802168
28,3539427.132616488,721870.806451613
29,4542038.32997988,591699.2957746478
29,4846676.480446927,608679.5530726258
31,1338677.647322764,299303.3951540532
31,2636158.2352941176,738011.9004524887
31,951007.5418994412,410090.4469273744
31,1674328.9655172413,383042.3645320197
33,4258318.468677495,1165487.1229698376
33,2804696.930232558,904890.4186046512
36,1852079.805510535,284983.4683954619
39,2257698.15008726,848183.0715532285
43,5999671.884297521,1280904.0991735535
53,1577798.7969924812,2654489.77443609
57,1796173.277027027,1400739.7297297297
71,2630922.3742454727,4400745.935613682
113,534105.2216748769,3857821.1822660095
152,1176993.9175257732,2794958.659793814
152,1250079.1457286433,4180706.331658292
