age.at.S1K,total_T2,total_FM
11,2731288.0,364774.6666666667
11,2122800.0,256950.00000000003
11,2362542.371681416,384186.01769911504
11,2149343.4245043593,354861.9358075561
14,6346285.914529914,1073026.52991453
14,7715313.0632090755,706018.5413290113
14,6660167.062818336,750775.6196943973
14,7901520.0,948926.8354430379
14,7312914.261168385,927570.0687285224
18,5939787.734138973,3043410.498489426
18,7324919.412724307,2676201.63132137
18,9577272.31726283,3395524.3390357695
18,7151191.73380035,3091873.7653239933
19,7772044.3815201195,1156576.0953800299
19,2177142.1202531643,381130.3164556962
20,15373871.365638766,2901314.5374449342
20,11764566.442494571,2131049.393759504
20,12042499.540266763,2658156.137145272
20,9662639.385826772,3421610.031496063
20,6783357.1501442855,1425893.14862856
20,6325780.327995718,1629320.7921941404
22,9451510.12367491,6899768.374558304
22,9083374.043715848,7357187.431693989
22,6504375.920577617,5344848.465703971
22,6666750.497237569,8337969.944751382
23,5232985.359877489,7590502.970903522
23,6943838.848920864,10445974.100719424
23,7000984.704,7987616.112
23,5691764.359351988,9253842.415316643
24,769740.6409392745,3108822.538735444
24,6513902.108626198,6871715.271565495
24,7288298.642533937,7457759.2760181
24,7286496.75,5502402.75
24,5832598.876651983,6820426.78414097
24,2629612.554112554,5795632.683982683
25,5202683.407079646,9938101.10619469
25,4805636.329305137,8451604.98489426
26,6246459.076923077,10329654.974358974
26,8665097.161290321,12152999.612903226
26,6095990.76923077,8778433.846153846
26,5474117.48361473,6458492.800287662
26,6070312.5,11114464.285714287
27,3557727.7862103507,8925145.633329323
28,4884980.255516841,10596349.206349207
28,3819053.136200717,9023507.47311828
29,5081658.048289739,8529218.511066398
29,6341325.586592179,8158903.743016759
31,991249.1773855818,3039612.4738259045
31,1588328.8687782807,6346591.221719457
31,642985.3072625698,4617910.055865921
31,1113415.2709359606,6196080.591133005
33,6195003.967517401,18384934.802784223
33,3665401.953488372,12185405.30232558
36,2122129.9837925443,4097428.978930308
39,4632082.757417103,10388036.369982548
43,4303807.438016529,18698242.165289257
53,2091206.8421052634,29361986.390977446
57,3511685.9797297297,23866817.533783786
71,2284950.060362173,31177835.19114688
113,1691688.3251231527,18803297.438423645
152,1223984.6391752576,18772298.659793813
152,3353366.8844221104,27427919.497487437
