Lamis ID,Age at S1K,Age at BMT,Days postBMT,total_T1_AA4.1+,fd_T1_AA4.1+,frac_Ki67+_T1_AA4.1+_donor,frac_Ki67+_T1_AA4.1+_host
848686,59,41,18,3028238.306878307,0.8000178356445357,0.9954854531267416,0.9810479375696768
848689,62,41,21,941090.183639399,0.042077580539119,0.9973958333333334,0.9876458476321208
848688,69,41,28,1507820.647359455,0.5674795234549516,0.9922912907987536,0.9692274585754248
848701,76,41,35,1021160.2787456448,0.5429568742258755,0.9968892575694732,0.987681694998768
848687,88,41,14,1069147.35,0.2627705152147643,0.9962374581939798,0.9772016092981672
832634,88,74,14,1250755.629139073,0.2593569661995053,0.9958677685950414,0.9863089937666965
832635,92,74,18,3336146.7818181817,0.0055751798101885,0.9847328244274808,0.9956774800992896
832636,95,74,21,1946514.4749596124,0.8408868373199049,0.9877734342510188,0.9525274725274728
832637,102,74,28,1277544.9914821126,0.8610971818272991,0.9917307244351268,0.9270758122743684
832653,109,74,35,1695727.1961102108,0.934628180918982,0.9858572253223014,0.9270976616231086
882098,119,41,54,735345.6428571428,0.6082700759089094,0.9947454844006568,0.987251402345742
848700,123,41,82,1492505.636070853,0.72354522757826,0.989515593895156,0.96040291767975
848702,124,42,82,888469.7852760736,0.1952312369979196,0.978688524590164,0.9361702127659576
860235,141,51,90,1416883.027027027,0.9685636182902584,0.9892238614496474,0.9565217391304348
848702,158,65,117,925491.986970684,0.2866242038216561,0.9865319865319864,0.975108225108225
882113,212,58,154,582737.257824143,0.9776735878544318,0.9714546700159854,0.7300000000000001
882101,219,65,154,1208292.46875,0.9096889285316088,0.9942394901335948,0.9703703703703704
860234,291,101,190,919453.1946508172,0.9336306868867082,0.9826103573476016,0.9381720430107529
832605,306,89,217,980509.0909090908,0.7841480948957585,0.9846435938574376,0.9250624479600332
832608,306,89,217,885282.1036106751,0.6724775488642366,0.9840272322597536,0.9467741935483872
408781,731,87,644,1352554.171779141,0.8716206234303442,0.9696610169491526,0.8642117376294591
408783,731,87,644,111568.01292407108,0.7770114942528735,0.8856015779092703,0.4398625429553264
