mouse,age.at.S1K,T1 AA4.1+_total
Samples_Spleen_002_d11_017.fcs,11,4145272.444444445
Samples_Spleen_003_d11_018.fcs,11,3223400.0000000005
Samples_Spleen_004_d11_019.fcs,11,3302816.814159292
Samples_Spleen_005_d11_020.fcs,11,2677655.93768097
Samples_Spleen_006_d14_021.fcs,14,6970682.085470086
Samples_Spleen_007_d14_022.fcs,14,8923469.173419774
Samples_Spleen_008_d14_023.fcs,14,9934749.202037351
Samples_Spleen_009_d14_024.fcs,14,9792408.860759491
Samples_Spleen_010_d14_025.fcs,14,8129738.591065292
X20181210_Spleen_d18_002_055.fcs,18,8048253.625377644
X20181210_Spleen_d18_003_056.fcs,18,13259741.109298533
X20181210_Spleen_d18_004_057.fcs,18,14298238.413685847
X20181210_Spleen_d18_005_058.fcs,18,12018216.46234676
Samples_SPLEEN_005_024.fcs,19,7830012.563338301
Samples_SPLEEN_010_025.fcs,19,2180226.8670886075
X20190103_Spleen_d20_001_013.fcs,20,13915009.691629956
X20190103_Spleen_d20_002_014.fcs,20,9656192.516934888
X20190103_Spleen_d20_003_015.fcs,20,9794591.346059792
X20190103_Spleen_d20_004_016.fcs,20,7829665.79527559
X20190103_Spleen_d20_005_017.fcs,20,6774900.384761128
X20190103_Spleen_d20_006_018.fcs,20,6300190.374234988
X20181023_MV60_Bcells_SPL_002.fcs,22,8433219.434628977
X20181023_MV60_Bcells_SPL_003.fcs,22,5577211.748633879
X20181023_MV60_Bcells_SPL_004.fcs,22,3782727.075812274
X20181023_MV60_Bcells_SPL_005.fcs,22,4656960.0
X20190129_Spleen_23d_003_003.fcs,23,6310523.3843797855
X20190129_Spleen_23d_004_004.fcs,23,6080230.2158273375
X20190129_Spleen_23d_005_005.fcs,23,7325372.544000001
X20190129_Spleen_23d_006_006.fcs,23,7723245.949926362
X20190103_Spleen_d24_009_021.fcs,24,3147971.212121212
X20190103_Spleen_d24_010_022.fcs,24,612356.8472716775
X20190129_Spleen_24d_001_016.fcs,24,4155810.0958466455
X20190129_Spleen_24d_002_017.fcs,24,4968701.357466063
X20190129_Spleen_24d_003_018.fcs,24,5646774.65625
X20190129_Spleen_24d_004_019.fcs,24,3428983.5462555066
X20190108_Spleen_d25_001_001.fcs,25,4104114.646017699
X20190108_Spleen_d25_002_002.fcs,25,5085526.812688821
X20181120_MV60_d26_SPLEEN_001_016.fcs,26,3987991.071428572
X20181120_MV60_d26_SPLEEN_002_017.fcs,26,4257468.717948718
X20181120_MV60_d26_SPLEEN_003_018.fcs,26,7539452.580645162
X20181120_MV60_d26_SPLEEN_004_019.fcs,26,4509263.076923077
X20181120_MV60_d26_SPLEEN_005_020.fcs,26,3218231.4531814395
X20190201_Spleen_27d_005_015.fcs,27,1799773.9509858345
X20190103_Spleen_d28_007_019.fcs,28,5123266.744096012
X20190103_Spleen_d28_008_020.fcs,28,3539427.132616488
X20190108_Spleen_d29_003_003.fcs,29,4542038.32997988
X20190108_Spleen_d29_004_004.fcs,29,4846676.480446927
Samples_SPLEEN_001_017.fcs,31,1338677.647322764
Samples_SPLEEN_002_018.fcs,31,2636158.2352941176
Samples_SPLEEN_003_019.fcs,31,951007.5418994412
Samples_SPLEEN_004_020.fcs,31,1674328.9655172413
X20190108_Spleen_d33_005_005.fcs,33,4258318.468677495
X20190108_Spleen_d33_006_006.fcs,33,2804696.930232558
Samples_SPLEEN_011_026.fcs,36,1852079.805510535
Samples_Spleen_001_5wks_016.fcs,39,2257698.15008726
X20181210_Spleen_d43_001_054.fcs,43,5999671.884297521
X20190129_Spleen_45d_002_002.fcs,53,1577798.7969924812
X20190201_Spleen_57d_006_016.fcs,57,1796173.277027027
X20180907_TH283_Bcells_SP_002.fcs,71,2630922.3742454727
X20181023_MV60_Bcells_SPL_001.fcs,113,534105.2216748769
X20181120_MV60_d26_SPLEEN_006_021.fcs,152,1176993.9175257732
X20181120_MV60_d26_SPLEEN_007_022.fcs,152,1250079.1457286433
