Lamis ID,Age at S1K,Age at BMT,Days postBMT,total_T2_MZP,fd_T2_MZP,Nfd_T2_MZP,frac_Ki67+_T2_MZP_donor,frac_Ki67+_T2_MZP_host
848686,59,41,18,2391723.597883598,0.071698752328798,0.0896214423407621,0.3275590551181102,0.0678100103387459
848689,62,41,21,1120831.6026711187,0.0011040574109853,0.0262386144079492,0.1666666666666666,0.12065948236161
848688,69,41,28,1476524.667802385,0.0751829673985362,0.1324857801754754,0.1757269279393173,0.087153134635149
848701,76,41,35,1116365.853658537,0.1041301884849109,0.1917835346193475,0.1503461918892185,0.0753046677397102
848687,88,41,14,1771146.0,0.0045755968169761,0.0174129004284839,0.217391304347826,0.0964625940976617
832634,88,74,14,2314155.6953642387,0.0042775030076193,0.0164927245652962,0.3958333333333333,0.0825614176399516
832635,92,74,18,2513078.1818181816,0.0006214689265536,0.1114706516582567,0.1818181818181818,0.1008536378540335
832636,95,74,21,2123767.366720517,0.1493589743589743,0.1776207781239803,0.2759656652360515,0.0889223813112283
832637,102,74,28,1442955.741056218,0.1675546084176878,0.1945826928176992,0.2602013778484366,0.0677333333333333
832653,109,74,35,2092327.0016207453,0.1955983092843608,0.2092792762700959,0.1259314456035767,0.0350606994020655
882098,119,41,54,1999211.7857142857,0.2152094048493754,0.3538056750988419,0.1604643222942983,0.0939050650688137
848700,123,41,82,1336003.2206119162,0.4561252950010727,0.6304032942456764,0.1253527751646284,0.080473372781065
848702,124,42,82,1415381.1349693253,0.0622802611752887,0.3190076656429341,0.2064516129032257,0.131440814140332
860235,141,51,90,1837476.1621621624,0.7297116029510395,0.7533956357344409,0.0967699579831932,0.0503367600141793
848702,158,65,117,2608561.9543973943,0.2437170444429226,0.8503016883897523,0.0918797415004214,0.0795001810938065
882113,212,58,154,1209059.4634873325,0.9071344022382438,0.9278499629196378,0.0876631079478054,0.0463499420625724
882101,219,65,154,2031558.75,0.819893899204244,0.9012904010249864,0.08993853121967,0.0519145802650957
860234,291,101,190,1760002.3774145616,0.8993382421474508,0.9632697969112292,0.1162814799461084,0.0657407407407407
832605,306,89,217,2025339.86013986,0.7538501696684938,0.9613619857977308,0.0945290858725761,0.0837751855779427
832608,306,89,217,1310541.7582417582,0.6588557154751993,0.979743809422272,0.0935186856833363,0.0767085076708507
408781,731,87,644,1475041.3496932515,0.8339203467894879,0.9567469199013634,0.0912930474333983,0.0774877650897226
408783,731,87,644,1967786.1712439416,0.8902984750401877,1.14579833326178,0.0970622682022252,0.055049504950495
