ID,age_at_BMT,age_at_S1K,days_post_BMT,cell_type,Total_ki67
832634,74,88,14,T1,98.878812860676
848687,41,88,14,T1,98.22036691200702
832635,74,92,18,T1,99.56164616759588
848686,41,59,18,T1,99.2598207517724
832636,74,95,21,T1,98.21653378094838
848689,41,62,21,T1,98.80561034407188
832637,74,102,28,T1,98.2749974927289
848688,41,69,28,T1,98.23157110945644
832653,74,109,35,T1,98.20160057548782
848701,41,76,35,T1,99.26810043913972
882098,41,119,54,T1,99.18098282061526
848700,41,123,82,T1,98.14672556174382
848702,42,124,82,T1,94.44711153784608
860235,51,141,90,T1,98.8195825049702
848702,65,158,117,T1,97.83825516309594
882101,65,219,154,T1,99.20838443527708
882113,58,212,154,T1,96.60638535387363
860234,101,291,190,T1,97.96610169491524
832605,89,306,217,T1,97.17828900071892
832608,89,306,217,T1,97.18260257087516
408781,87,731,644,T1,95.61235042103708
408783,87,731,644,T1,78.62068965517241
832634,74,88,14,T2,82.34484340942984
848687,41,88,14,T2,81.70082297886073
832635,74,92,18,T2,96.86936936936937
848686,41,59,18,T2,95.29724173376736
832636,74,95,21,T2,92.11160868067516
848689,41,62,21,T2,94.36171750759
832637,74,102,28,T2,94.10722450845908
848688,41,69,28,T2,92.96613137225474
832653,74,109,35,T2,96.7714448021208
848701,41,76,35,T2,96.39000635189498
882098,41,119,54,T2,96.0874568469505
848700,41,123,82,T2,64.25653992025674
848702,42,124,82,T2,45.58832777812716
860235,51,141,90,T2,96.39819909954976
848702,65,158,117,T2,93.70984105512343
882101,65,219,154,T2,95.22527910685804
882113,58,212,154,T2,83.43558282208589
860234,101,291,190,T2,90.49477134384269
832605,89,306,217,T2,91.64004259850904
832608,89,306,217,T2,85.53698494125435
408781,87,731,644,T2,88.65264100268577
408783,87,731,644,T2,54.96894409937888
832634,74,88,14,FM,8.243926614598152
848687,41,88,14,FM,7.994475616680943
832635,74,92,18,FM,20.90286887583414
848686,41,59,18,FM,17.34515652290743
832636,74,95,21,FM,12.785656039300704
848689,41,62,21,FM,13.973270929296822
832637,74,102,28,FM,9.87804556828658
848688,41,69,28,FM,10.5882179545756
832653,74,109,35,FM,8.779230062289392
848701,41,76,35,FM,10.327827219928007
882098,41,119,54,FM,15.394629408641135
848700,41,123,82,FM,10.59850123220842
848702,42,124,82,FM,7.106317544885539
860235,51,141,90,FM,12.009097721347985
848702,65,158,117,FM,10.697553797843014
882101,65,219,154,FM,8.020050125313283
882113,58,212,154,FM,5.176154903682109
860234,101,291,190,FM,5.189452014882956
832605,89,306,217,FM,6.07398330557912
832608,89,306,217,FM,3.901273538221406
408781,87,731,644,FM,7.738504775343137
408783,87,731,644,FM,5.062297655253605
832634,74,88,14,T2MZP,8.390143920153276
848687,41,88,14,T2MZP,9.70159151193634
832635,74,92,18,T2MZP,10.09039548022599
848686,41,59,18,T2MZP,8.643369276802346
832636,74,95,21,T2MZP,11.685897435897436
848689,41,62,21,T2MZP,12.071027693440056
832637,74,102,28,T2MZP,9.998224116497957
848688,41,69,28,T2MZP,9.3812375249501
832653,74,109,35,T2MZP,5.283486372248944
848701,41,76,35,T2MZP,8.311875579359356
882098,41,119,54,T2MZP,10.822924320352682
848700,41,123,82,T2MZP,10.094400343273977
848702,42,124,82,T2MZP,13.61125062782521
860235,51,141,90,T2MZP,8.421960333429146
848702,65,158,117,T2MZP,8.251729096760938
882101,65,219,154,T2MZP,8.309018567639258
882113,58,212,154,T2MZP,8.38265361024427
860234,101,291,190,T2MZP,11.119396029452885
832605,89,306,217,T2MZP,9.188201513965025
832608,89,306,217,T2MZP,8.77839895325324
408781,87,731,644,T2MZP,8.900027092928745
408783,87,731,644,T2MZP,9.24534040057349
832634,74,88,14,MZ,13.032475748629269
848687,41,88,14,MZ,16.076615831517792
832635,74,92,18,MZ,24.591232227488145
848686,41,59,18,MZ,14.25167752601381
832636,74,95,21,MZ,14.782995111835282
848689,41,62,21,MZ,21.60899216973983
832637,74,102,28,MZ,13.082849709825894
848688,41,69,28,MZ,18.018557318168217
832653,74,109,35,MZ,16.46695715323166
848701,41,76,35,MZ,21.221203573107665
882098,41,119,54,MZ,36.05790981752375
848700,41,123,82,MZ,15.666063893911996
848702,42,124,82,MZ,13.648057198222574
860235,51,141,90,MZ,18.732804660948375
848702,65,158,117,MZ,25.50226149153256
882101,65,219,154,MZ,14.658625888434202
882113,58,212,154,MZ,15.077062556663645
860234,101,291,190,MZ,13.766319616592298
832605,89,306,217,MZ,13.007892429114293
832608,89,306,217,MZ,13.341402104087145
408781,87,731,644,MZ,9.17601604874062
408783,87,731,644,MZ,9.066811663155033
