Lamis ID,Age at BMT,Age at S1K,Days postBMT,total_count,fd,frac_Ki67+_donor,frac_Ki67+_host,subset
832634,74,88,14,1250755.629139073,0.2593569661995053,0.9958677685950414,0.9863089937666963,T1
848687,41,88,14,1069147.35,0.26277051521476436,0.9962374581939798,0.9772016092981672,T1
832635,74,92,18,3336146.7818181817,0.005575179810188536,0.9847328244274808,0.9956774800992896,T1
848686,41,59,18,3028238.306878307,0.8000178356445357,0.9954854531267416,0.9810479375696768,T1
832636,74,95,21,1946514.4749596124,0.8408868373199049,0.9877734342510187,0.9525274725274727,T1
848689,41,62,21,941090.183639399,0.042077580539119,0.9973958333333334,0.9876458476321208,T1
832637,74,102,28,1277544.9914821126,0.8610971818272991,0.9917307244351269,0.9270758122743683,T1
848688,41,69,28,1507820.647359455,0.5674795234549516,0.9922912907987536,0.9692274585754249,T1
832653,74,109,35,1695727.1961102108,0.934628180918982,0.9858572253223014,0.9270976616231086,T1
848701,41,76,35,1021160.2787456447,0.5429568742258755,0.9968892575694731,0.9876816949987681,T1
882098,41,119,54,735345.6428571428,0.6082700759089094,0.9947454844006568,0.987251402345742,T1
848700,41,123,82,1492505.6360708533,0.72354522757826,0.989515593895156,0.96040291767975,T1
848702,42,124,82,888469.7852760736,0.19523123699791967,0.9786885245901641,0.9361702127659575,T1
860235,51,141,90,1416883.027027027,0.9685636182902584,0.9892238614496474,0.9565217391304348,T1
848702,65,158,117,925491.986970684,0.2866242038216561,0.9865319865319864,0.975108225108225,T1
882101,65,219,154,1208292.46875,0.9096889285316089,0.9942394901335948,0.9703703703703703,T1
882113,58,212,154,582737.257824143,0.9776735878544318,0.9714546700159854,0.7300000000000001,T1
860234,101,291,190,919453.1946508173,0.9336306868867082,0.9826103573476017,0.9381720430107527,T1
832605,89,306,217,980509.0909090908,0.7841480948957585,0.9846435938574376,0.9250624479600332,T1
832608,89,306,217,885282.1036106751,0.6724775488642366,0.9840272322597537,0.9467741935483871,T1
408781,87,731,644,1352554.171779141,0.8716206234303442,0.9696610169491526,0.8642117376294591,T1
408783,87,731,644,111568.01292407108,0.7770114942528735,0.8856015779092703,0.4398625429553264,T1
832634,74,88,14,898832.3841059603,0.13490879889870366,0.9719387755102041,0.8002917384962206,T2
848687,41,88,14,727837.65,0.1371631434565112,0.96,0.794277164765289,T2
832635,74,92,18,2521597.0909090913,0.0036599099099099094,1.0,0.9685786945464819,T2
848686,41,59,18,1576298.8359788358,0.7251156415967106,0.982279976373302,0.8756622000623246,T2
832636,74,95,21,1580845.2988691437,0.7590423699621082,0.9496255956432949,0.8313080771979985,T2
848689,41,62,21,713293.9732888147,0.020529131126210787,0.9929577464788732,0.9425830258302583,T2
832637,74,102,28,2241693.628620102,0.7788637402834934,0.9731415572026124,0.8281209614887568,T2
848688,41,69,28,2805270.562180579,0.46555605583070686,0.9707715452396305,0.893850042122999,T2
832653,74,109,35,1610491.021069692,0.9038060973300511,0.981981981981982,0.8336614173228346,T2
848701,41,76,35,1086125.4355400696,0.4323523184416685,0.9828599412340842,0.9494591570309586,T2
882098,41,119,54,510599.5714285715,0.5555235903337169,0.9808389435525634,0.9359223300970874,T2
848700,41,123,82,2947462.157809984,0.6485461441213654,0.6888588993852152,0.5571389042612065,T2
848702,42,124,82,2260771.012269939,0.12615558769888685,0.5837487537387837,0.4374235336451961,T2
860235,51,141,90,703864.1081081082,0.9617308654327164,0.9685305591677502,0.8496732026143791,T2
848702,65,158,117,528214.5928338763,0.26141359485965504,0.9404915912031048,0.9358974358974358,T2
882101,65,219,154,1351498.5,0.8849681020733652,0.9552827213336337,0.92894280762565,T2
882113,58,212,154,402933.0849478391,0.9728769777203745,0.8396946564885496,0.6428571428571429,T2
860234,101,291,190,1051014.5616641901,0.9308568752926487,0.9082830315224681,0.8600451467268623,T2
832605,89,306,217,1323793.006993007,0.7388178913738019,0.9232432432432431,0.8970438328236493,T2
832608,89,306,217,942024.9607535321,0.5988747310938276,0.8582481348438795,0.8510726072607261,T2
408781,87,731,644,892777.6687116565,0.8692927484333035,0.8916065911431514,0.8527397260273972,T2
408783,87,731,644,110114.6365105008,0.9006211180124224,0.5560344827586207,0.4921875,T2
