mouse,age.at.S1K,MZ_Ki67+,T1 AA4.1+_Ki67+,MZ_total,T1 AA4.1+_total,frac_MZ_Ki67+,frac_T1_AA4.1+_Ki67+
Samples_Spleen_002_d11_017.fcs,11,2750.222222222222,2766194.6666666665,12058.666666666666,4145272.4444444445,0.2280701754385965,0.6673131148168467
Samples_Spleen_003_d11_018.fcs,11,1000.0,1983750.0,7450.0,3223400.0000000005,0.1342281879194631,0.6154216045169696
Samples_Spleen_004_d11_019.fcs,11,2849.8053097345132,2222848.1415929203,18873.238938053095,3302816.814159292,0.15099715099715103,0.6730158730158731
Samples_Spleen_005_d11_020.fcs,11,269.85698540498566,20576.595137130156,11941.171604170615,2677655.93768097,0.022598870056497175,0.007684555303602923
Samples_Spleen_006_d14_021.fcs,14,56055.04273504274,3831314.6666666665,173580.61538461538,6970682.085470086,0.32293377120963335,0.5496326786517466
Samples_Spleen_007_d14_022.fcs,14,27720.194489465157,6049773.743922204,65914.81361426256,8923469.173419774,0.42054574638844305,0.6779620824984289
Samples_Spleen_008_d14_023.fcs,14,753.4125636672327,25490.458404074703,55375.8234295416,9934749.202037353,0.01360544217687075,0.0025657878106119967
Samples_Spleen_009_d14_024.fcs,14,32426.32911392405,4914301.518987342,102645.3164556962,9792408.860759493,0.31590656284760843,0.5018480732233429
Samples_Spleen_010_d14_025.fcs,14,45418.865979381444,4218351.683848797,152588.31615120274,8129738.591065292,0.29765625,0.5188791295804801
X20181210_Spleen_d18_002_055.fcs,18,3931.7673716012087,1206533.2930513595,120475.28700906344,8048253.625377644,0.03263546798029557,0.1499124343257443
X20181210_Spleen_d18_003_056.fcs,18,5757.748776508973,3104932.4632952693,95047.14518760196,13259741.109298531,0.06057781919850886,0.2341623744914524
X20181210_Spleen_d18_004_057.fcs,18,810.4199066874028,15127.838258164851,175455.9097978227,14298238.413685847,0.004618937644341801,0.001058021122635984
X20181210_Spleen_d18_005_058.fcs,18,522.8721541155867,5882.311733800349,88103.95796847636,12018216.46234676,0.005934718100890207,0.0004894496410702632
Samples_SPLEEN_005_024.fcs,19,253.41281669150524,2724.187779433681,135955.97615499256,7830012.563338301,0.001863932898415657,0.0003479161441181944
Samples_SPLEEN_010_025.fcs,19,1181.392405063291,782377.1202531646,15998.022151898735,2180226.8670886075,0.07384615384615384,0.35885124253051764
X20190103_Spleen_d20_001_013.fcs,20,3214.09691629956,327330.3964757709,60898.67841409692,13915009.691629956,0.052777777777777785,0.023523547861606167
X20190103_Spleen_d20_002_014.fcs,20,2223.08511762936,16895.446893983135,150280.55395174472,9656192.516934887,0.014792899408284025,0.001749700709089235
X20190103_Spleen_d20_003_015.fcs,20,8455.49195369019,3069969.9119268497,77038.92668917729,9794591.346059792,0.10975609756097562,0.3134352218953831
X20190103_Spleen_d20_004_016.fcs,20,10975.889763779527,3140785.4645669293,57549.259842519685,7829665.79527559,0.19072164948453607,0.40113914778611304
X20190103_Spleen_d20_005_017.fcs,20,618.7877109627773,14025.854781822953,100449.87174629085,6774900.384761128,0.006160164271047227,0.0020702673080435973
X20190103_Spleen_d20_006_018.fcs,20,3374.499397019276,46961.78327518493,61303.40571251685,6300190.374234988,0.055045871559633024,0.00745402606677379
X20181023_MV60_Bcells_SPL_002.fcs,22,49490.72438162544,4235949.169611308,206642.80918727914,8433219.434628977,0.23949889462048637,0.5022932466594439
X20181023_MV60_Bcells_SPL_003.fcs,22,851.0928961748634,6298.087431693989,123578.68852459016,5577211.748633879,0.006887052341597796,0.0011292537768960783
X20181023_MV60_Bcells_SPL_004.fcs,22,69600.1083032491,1749058.4837545126,297029.45848375454,3782727.075812274,0.2343205574912892,0.46238030095759236
X20181023_MV60_Bcells_SPL_005.fcs,22,44294.91712707182,2238135.91160221,260945.3038674033,4656960.0,0.16974789915966387,0.4806002009040683
X20190129_Spleen_23d_003_003.fcs,23,7623.813169984686,1845901.102603369,160686.52373660033,6310523.3843797855,0.04744525547445255,0.29251156998680367
X20190129_Spleen_23d_004_004.fcs,23,15631.654676258991,1530612.9496402878,289910.7913669065,6080230.2158273375,0.05391884380211228,0.2517360190829579
X20190129_Spleen_23d_005_005.fcs,23,1592.976,12019.728000000001,301651.728,7325372.544000001,0.00528084493518963,0.0016408350466550687
X20190129_Spleen_23d_006_006.fcs,23,513.6229749631812,6574.3740795287185,269446.61266568484,7723245.949926362,0.0019062142584826535,0.0008512449457331347
X20190103_Spleen_d24_009_021.fcs,24,111214.71861471861,1633792.2077922078,496397.40259740263,3147971.212121212,0.22404371584699453,0.5189984589126221
X20190103_Spleen_d24_010_022.fcs,24,101907.90106823212,250399.384082379,444160.8122413627,612356.8472716775,0.22943919918098055,0.4089108910891089
X20190129_Spleen_24d_001_016.fcs,24,117642.9392971246,848131.6293929713,764260.4472843452,4155810.0958466455,0.1539304300191728,0.20408334592588862
X20190129_Spleen_24d_002_017.fcs,24,85103.16742081448,780096.8325791856,621728.5067873303,4968701.357466063,0.13688155922038983,0.1570021573961167
X20190129_Spleen_24d_003_018.fcs,24,4338.75,15402.5625,592998.65625,5646774.65625,0.007316627034936894,0.0027276743694654142
X20190129_Spleen_24d_004_019.fcs,24,6860.814977973568,16828.4140969163,555337.6651982379,3428983.5462555066,0.012354312354312353,0.004907697534825777
X20190108_Spleen_d25_001_001.fcs,25,30004.73451327434,893951.9469026548,385676.90265486727,4104114.646017699,0.07779759251003121,0.21781846366550056
X20190108_Spleen_d25_002_002.fcs,25,9006.797583081572,1262905.9667673716,170704.30513595167,5085526.812688821,0.05276256844201096,0.24833336118026436
X20181120_MV60_d26_SPLEEN_001_016.fcs,26,93482.14285714287,1503482.142857143,739419.6428571428,3987991.071428572,0.12642637203405183,0.37700238439063705
