Lamis.ID,days.post.bmt,age.at.S1K,age.at.bmt,Nfd
591830,12,72,60,0.058861161848605
591831,12,72,60,0.059990841570182
591927,12,77,65,0.048960247040147
682687,12,113,99,0.044530776724055
682688,12,113,99,0.085295226678036
386203,21,91,70,0.294767230185443
397523,21,75,54,0.349501670658543
559343,28,79,51,0.419278080634639
559345,28,79,51,0.351248754496961
682691,28,108,80,0.375528764619162
682692,28,108,80,0.342198823146726
386217,33,103,70,0.596485339111205
397522,33,87,54,0.513425763349731
401432,33,78,45,0.615395136344158
682625,42,122,80,0.477016256670209
488413,68,140,72,0.793307822925997
559344,68,119,51,0.695378122147594
559409,68,119,51,0.745884551562372
320998,110,294,184,0.950162412912453
358352,110,231,121,0.929350993782774
405144,110,150,40,0.902489775046661
591924,147,217,70,0.885898257139075
591925,147,217,70,0.920237450103604
591926,147,217,70,0.988812322798754
358353,152,273,121,0.962761476272929
405142,152,192,40,0.995102655255664
405143,152,273,121,0.95278766692693
599410,210,261,51,0.983231436687457
599411,210,261,51,0.988901453444917
559411,238,289,51,1.03051855885316
203491,264,442,178,1.06981591124369
233207,264,382,118,0.934391901485429
256767,264,330,66,1.03518957039402
358351,334,455,121,0.993277705282239
405145,334,374,40,1.04533802832569
405146,334,374,40,1.01930163855542
486691,378,442,64,1.06532731006805
378547,403,456,53,1.03618013544308
408561,434,524,90,1.00131842429841
408562,434,524,90,1.0242519806133
408560,476,566,90,1.01250262521903
