Lamis.ID,days.post.bmt,age.at.S1K,age.at.bmt,total_counts
591830,12,72,60,34009082.6458583
591831,12,72,60,24447160.5118883
591927,12,77,65,34211799.4626849
682687,12,113,99,29282481.2275266
682688,12,113,99,32416657.4639475
386203,21,91,70,28435517.5745762
397523,21,75,54,24732837.4175049
559343,28,79,51,28597312.4247979
559345,28,79,51,35726588.3720623
682691,28,108,80,32282612.6222876
682692,28,108,80,34447335.2962335
386217,33,103,70,46440272.4961453
397522,33,87,54,31192360.4545844
401432,33,78,45,36764540.2036896
682625,42,122,80,24329962.894113
488413,68,140,72,35186343.480135
559344,68,119,51,35655923.6963181
559409,68,119,51,29815746.2323227
320998,110,294,184,41334112.1248693
358352,110,231,121,55993021.4503168
405144,110,150,40,38568285.6588243
591924,147,217,70,37366629.3542873
591925,147,217,70,52216248.5856383
591926,147,217,70,34069693.200947
358353,152,273,121,47525909.3746575
405142,152,192,40,45802037.6153899
405143,152,273,121,37197141.4637526
599410,210,261,51,20236531.6898084
599411,210,261,51,33846251.3221553
559411,238,289,51,20736454.7130211
203491,264,442,178,49736148.7996382
233207,264,382,118,59112312.8669808
256767,264,330,66,62519995.7895529
358351,334,455,121,76318249.5086286
405145,334,374,40,76409290.3025596
405146,334,374,40,68486088.0451973
486691,378,442,64,29539788.5052477
378547,403,456,53,69614312.3941383
408561,434,524,90,41654524.4578439
408562,434,524,90,36293473.3374654
408560,476,566,90,37072970.3532138
