Lamis.ID,days.post.bmt,age.at.S1K,age.at.bmt,total_counts
591831,12,72,60,51477.5210356277
591927,12,77,65,125383.304940375
386203,21,91,70,21792.2416014358
397523,21,75,54,19668.1965105273
559343,28,79,51,51196.7419093074
559345,28,79,51,159064.162644023
386217,33,103,70,134512.965716285
397522,33,87,54,76015.8284226394
401432,33,78,45,44253.1833407893
488413,68,140,72,57054.4142374348
559344,68,119,51,104462.829881031
559409,68,119,51,68562.6545587222
320998,110,294,184,101648.017223049
358352,110,231,121,708571.480248879
405144,110,150,40,124266.978025161
358353,152,273,121,155057.535522944
405142,152,192,40,191505.901296744
405143,152,273,121,247312.138534187
233207,264,382,118,174505.809502747
256764,264,330,66,225222.626030319
256767,264,330,66,264648.616364723
405145,334,374,40,187432.857751857
405146,334,374,40,141501.028594015
378547,403,456,53,211329.867501723
