days.post.bmt,age.at.S1K,age.at.bmt,host_ki67_GC,donor_ki67_GC
12,72,60,0.997506234413966,1
21,91,70,0.97289156626506,0.499999999999998
21,75,54,0.958605664488017,0.88
28,79,51,0.979466119096509,0.9375
28,79,51,0.991202346041052,1
33,103,70,0.948228882833787,0.891304347826086
33,87,54,0.93904761904762,0.927007299270073
33,78,45,0.928315412186381,0.911111111111109
68,140,72,0.995780590717299,0.984177215189873
68,119,51,0.986910994764398,1
68,119,51,0.992378048780487,0.997607655502393
110,294,184,0.974747474747474,0.974533106960952
110,231,121,0.992518703241895,0.974545454545455
110,150,40,0.989304812834225,0.98867313915858
152,273,121,0.982378854625548,0.986301369863014
152,192,40,0.959183673469388,0.967213114754097
152,273,121,0.971698113207547,0.993055555555558
264,442,178,0.763975155279504,0.933978873239434
264,382,118,0.947194719471946,0.938230383973289
264,330,66,0.919298245614034,0.902714932126697
334,455,121,1,1
334,374,40,0.904191616766469,0.971358428805236
403,456,53,0.985507246376812,0.989440337909188
