days.post.bmt,age.at.S1K,age.at.bmt,host_ki67_GC,donor_ki67_GC
12,72,60,0.989010989010988,1
12,77,65,0.992727272727268,1
21,91,70,0.944444444444444,1
21,75,54,0.944444444444448,0.9375
28,79,51,0.945945945945945,0.972222222222224
28,79,51,0.963746223564954,1
33,103,70,0.904411764705882,0.92063492063492
33,87,54,0.903225806451613,0.979591836734694
33,78,45,0.599999999999998,0.833333333333334
68,140,72,1,0.989795918367347
68,119,51,0.978260869565218,0.987341772151898
68,119,51,1,1
110,294,184,0.888888888888892,1
110,231,121,0.992248062015501,0.995201535508636
110,150,40,0.967391304347828,0.985645933014354
152,273,121,0.939393939393942,0.955223880597015
152,192,40,1,0.978902953586496
152,273,121,0.972477064220184,0.990950226244342
264,382,118,0.92156862745098,0.921052631578945
264,330,66,0.807142857142857,0.943037974683546
264,330,66,0.902857142857142,0.958435207823959
334,374,40,0.960317460317459,0.987261146496817
334,374,40,1,1
403,456,53,1,0.994535519125684
