"","mean","sd","2.5%","97.5%"
"y0_Log",14.9690097,0.136089760810315,14.68396,15.2123275
"kappa_0",0.165467509265,0.107473444542237,0.0120614725,0.4140747
"psi",0.862023436,0.107927852659593,0.597111625,0.995305825
"rho_Log",-4.281947645,0.183420311551226,-4.60045675,-3.89615
"lambda_Log",-5.21644783,0.163239173956033,-5.59319725,-4.94754775
"Beta",4.309777815,0.716962997363302,2.9035465,5.73037075
"sigma1",0.398052854,0.0500213776438172,0.31651875,0.51191245
"sigma2",7.87251759,0.281783393696423,7.34590825,8.42172375
"sigma3",0.814436114,0.0737930953895999,0.681141925,0.96514145
"sigma4",0.3616279275,0.0435437419459395,0.288730075,0.454494425
